antibiotic,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,ampicillin,erythromycin,oxytetracycline,penicillin,tetracycline,tylosin,minocyclin,gentamicin,streptomycin,clindamycin,virginiamycin,vancomycin,teicoplanin,quinupristin/dalfopristin,ciprofloxacin,chloramphenicol,lincomycin,oxacillin,bacitracin,nalidixic acid,novobiocin,trimethoprim/sulfamethoxazole,tobramycin,amoxicillin/clavulanate,cefaclor,cefepime,netilmicin,pefloxacin,rifampicin,nitrofurantoin,pristinamycin,doxycycline,imipenem,norfloxacin,ticarcillin,piperacillin/tazobactam,cefalotin,cefoxitin,cefuroxime,ceftazidime,amikacin,kanamycin,methicillin,cefotaxime,cefpodoxime,aztreonam,ceftriaxone,cefotetan,cefazolin,sulbactam/ampicillin,ertapenem,amoxicillin,meropenem,colistin.sulfate,cefamandole,piperacillin,mupirocin
class1,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,aminopenicillin_3rdgenpen,macrolide,tetracycline,betalactamasesensitive_1stgenpen,tetracycline,macrolide,tetracycline,micin,mycin,lincosamides,streptogramins,glycopeptide,glycopeptide,streptogramins,2ndgen_quin,amphenicol,lincosamides,betalactamaseresistant_2ndgenpen,zinc salt,1stgen_quin,DNAgryase_quin,combo,mycin,combo,2ndgen_ceph,4thgen_ceph,micin,2ndgen_quin,rifamycin,nitrofuran,streptogramins,tetracycline,carbapenem,2ndgen_quin,carboxypenicillin_4thgenpen,combo,1stgen_ceph,2ndgen_ceph,2ndgen_ceph,3rdgen_ceph,mycin,mycin,betalactamaseresistant_2ndgenpen,3rdgen_ceph,3rdgen_ceph,monobactam,3rdgen_ceph,2ndgen_ceph,1stgen_ceph,combo,carbapenem,combo,carbapenem,polymyxin,2ndgen_ceph,ureidopenicillin_4thgenpen,mupirocin
class2,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,extendedspectrum,macrolide,tetracycline,narrowspectrum,tetracycline,macrolide,tetracycline,aminoglycoside,aminoglycoside,lincosamides,streptogramins,glycopeptide,glycopeptide,streptogramins,fluoroquinolone,peptidyl_transferase,lincosamides,narrowspectrum,zinc salt,naphthyridone,DNAgryase_quin,combo,aminoglycoside,combo,cephalosporin,cephalosporin,aminoglycoside,fluoroquinolone,rifamycin,nitrofuran,streptogramins,tetracycline,carbapenem,fluoroquinolone,extendedspectrum,combo,cephalosporin,cephalosporin,cephalosporin,cephalosporin,aminoglycoside,aminoglycoside,narrowspectrum,cephalosporin,cephalosporin,monobactam,cephalosporin,cephalosporin,cephalosporin,combo,carbapenem,combo,carbapenem,polymyxin,cephalosporin,extendedspectrum,mupirocin
class3,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,penicillin,macrolide,tetracycline,penicillin,tetracycline,macrolide,tetracycline,aminoglycoside,aminoglycoside,lincosamides,streptogramins,glycopeptide,glycopeptide,streptogramins,fluoroquinolone,peptidyl_transferase,lincosamides,penicillin,zinc salt,naphthyridone,quinolone,antifolate,aminoglycoside,combo,cephalosporin,cephalosporin,aminoglycoside,fluoroquinolone,rifamycin,nitrofuran,streptogramins,tetracycline,carbapenem,fluoroquinolone,penicillin,combo,cephalosporin,cephalosporin,cephalosporin,cephalosporin,aminoglycoside,aminoglycoside,penicillin,cephalosporin,cephalosporin,monobactam,cephalosporin,cephalosporin,cephalosporin,combo,carbapenem,combo,carbapenem,polymyxin,cephalosporin,penicillin,mupirocin
mode.of.action,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,betalactam,MLS,tetracycline_antibiotics,betalactam,tetracycline_antibiotics,MLS,tetracycline_antibiotics,30S,30S,MLS,MLS,glycopeptide,glycopeptide,MLS,quinolone,50S,MLS,betalactam,zinc salt,quinolone,quinolone,antifolate,30S,betalactam,betalactam,betalactam,30S,quinolone,RNSsynth,anaerobicDNAinhibitor,MLS,tetracycline_antibiotics,betalactam,quinolone,betalactam,betalactam,betalactam,betalactam,betalactam,betalactam,30S,30S,betalactam,betalactam,betalactam,betalactam,betalactam,betalactam,betalactam,betalactam,betalactam,betalactam,betalactam,polymyxin,betalactam,betalactam,mupirocin
data,1,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,upwind,-25,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,upwind,-25,Andersen-2,salmonella.sp,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,7,6,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,upwind,-25,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,6,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,upwind,-25,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,15,6,13,15,13,13,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,inside,0,Andersen-2,salmonella.sp,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,10,6,9,10,10,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
