type,row.id,label,abstract,affiliation,author,doi,issn,journal,keywords,language,pages,source,title,volume,year,duplicate_group,n_duplicates,relevant,MRSA-SA,ESBL-ENT,FUNGI,VIRUS,GENERAL,MABres,MABgeneres,MAFres,MAFgeneres,wasMARtested,notes,,,,
pig,281,Ferguson_2016_JOOFAG,"Aerosolized methicillin-resistant Staphylococcus aureus (MRSA) was sampled inside and downwind of a swine facility. Animal feed was sampled before and after entry into the swine facility. Aerosolized particles were detected using an optical particle counter for real-time measurement and with an Andersen sampler to detect viable MRSA. Molecular typing and antimicrobial susceptibility testing were performed on samples collected. Viable MRSA organisms isolated inside the swine facility were primarily associated with particles >5 mu m, and those isolated downwind from the swine facility were associated with particles <5 mu m. MRSA isolates included spa types t008, t034, and t5706 and were resistant to methicillin, tetracycline, clindamycin, and erythromycin. Animal feed both before and after entry into the swine facility tested positive for viable MRSA. These isolates were of similar spa types as the airborne MRSA organisms. Air samples collected after power washing with a biocide inside the swine facility resulted in no viable MRSA organisms detected. This pilot study showed that the ecology of MRSA is complex. Additional studies are warranted on the maximum distance that viable MRSA can be emitted outside the facility, and the possibility that animal feed may be a source of contamination.","Ferguson, DD (Reprint Author), Univ Iowa, Dept Occupat Environm Hlth, 105 River St,CPHB Suite 329, Iowa City, IA 52242 USA. Ferguson, Dwight D.; Donham, Kelley J., Univ Iowa, Dept Occupat Environm Hlth, 105 River St,CPHB Suite 329, Iowa City, IA 52242 USA. Smith, Tara C.; Hanson, Blake M.; Wardyn, Shylo E., Univ Iowa, Dept Epidemiol, Iowa City, IA 52242 USA. Smith, Tara C., Kent State Univ, Dept Biostat Environm Hlth Sci \& Epidemiol, Kent, OH 44242 USA.","Ferguson, Dwight D. and Smith, Tara C. and Hanson, Blake M. and Wardyn, Shylo E. and Donham, Kelley J.",10.1080/1059924X.2016.1142917,1059-924X,JOURNAL OF AGROMEDICINE,Agriculture; air sampling; animal feeding operation; bioaerosol; confined; MRSA; swine; zoonosis,English,149-153,wos,"Detection of Airborne Methicillin-Resistant Staphylococcus aureus Inside and Downwind of a Swine Building, and in Animal Feed: Potential Occupational, Animal Health, and Environmental Implications",21,2016,281,1,YES,Y,N,N,N,N,YES,NO,NO,NO,YES,none,,,,
pig,32,Arfken_2015_JOOFMIANBI,"Airborne bacteria from hog farms may have detrimental impacts on human health, particularly in terms of antibiotic resistance and pathogen zoonosis. Despite human health risks, very little is known about the composition and diversity of airborne bacteria from hog farms and hog-related spray fields. We used pyrosequencing analysis of 16S rRNA genes to compare airborne bacterial communities in a North Carolina hog farm and lagoon spray field. In addition, we isolated and identified antibiotic-resistant bacteria from both air samples. Based on 16S rRNA gene,pyrosequene analysis, Actinobacteria, Bacteroidetes, Firmicutes, and Proteobacteria were the dominant phyla in airborne bacterial communities from both hog farm and spray field sites. Within the Firmicutes genera, Clostridium spp. were more abundant in the hog farm, whereas Staphylococcus spp. were higher in the spray field. The presence of opportunitic pathogens, including several Staphylococcus species and Propionibacterium acnes, was detected in both bioaerosol communities based on phylogenetic analysis. The isolation and identification of antibiotic-resistant bacteria from air samples also showed similar results with dominance of Actinobacteria and Proteobacteria in both hog farm and spray field air. Thus, the existence of opportunistic pathogens and antibiotic resistant bacteria in airborne communities evidences potential health risks to farmers and other residents from swine bioaerosol exposure.","Song, B (Reprint Author), Univ N Carolina, Dept Biol \& Marine Biol, Wilmington, NC 28403 USA. Arfken, Ann M.; Song, Bongkeun, Univ N Carolina, Dept Biol \& Marine Biol, Wilmington, NC 28403 USA. Arfken, Ann M.; Song, Bongkeun, Virginia Inst Marine Sci, Dept Biol Sci, Gloucester Point, VA 23062 USA. Song, Bongkeun; Sung, Jung-Suk, Dongguk Univ, Dept Life Sci, Seoul, South Korea.","Arfken, Ann M. and Song, Bongkeun and Sung, Jung-Suk",10.4014/jmb.1408.08005,1017-7825,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,Hog; swine; antibiotic resistance; bioaerosol; airborne bacteria,English,709-717,wos,Comparison of Airborne Bacterial Communities from a Hog Farm and Spray Field,25,2015,32,3,YES,N,N,N,N,Y,NOT POSSIBLE,NO,NO,NO,YES,none,,,,
pig,399,Hong_2012_ENVIMICR,"Given the growing concerns over human and animal health issues related to confined animal feeding operations, an in-depth examination is required to monitor for airborne bacteria and associated antibiotic resistance genes. Our 16S rRNA-based pyrosequencing revealed that the airborne microbial community skewed towards a higher abundance of Firmicutes (> 59.2\%) and Bacteroidetes (4.231.4\%) within the confinement buildings, while the office environment was predominated by Proteobacteria (55.2\%). Furthermore, bioaerosols in the confinement buildings were sporadically associated with genera of potential pathogens, and these genera were more frequently observed in the bioaerosols of pig and layer hen confinement than the turkey confinement buildings and office environment. High abundances of tetracycline resistance genes (9.55 X 102 to 1.69 X 106 copies ng-1 DNA) were also detected in the bioaerosols sampled from confinement buildings. Bacterial lineages present in the poultry bioaerosols clustered apart from those present in the pig bioaerosols and among the different phases of pig production, suggesting that different livestock as well as production phase were associated with a distinct airborne microbial community. By understanding the diversity of biotic contaminants associated with the different confinement buildings, this study facilitates the implementation of better management strategies to minimize potential health impacts on both livestock and humans working in this environment.","Mackie, RI (Reprint Author), Univ Illinois, Dept Anim Sci, 328 Mumford Hall, Urbana, IL 61801 USA. Hong, Pei-Ying; Li, Xiangzhen; Shinkai, Takumi; Mackie, Roderick I., Univ Illinois, Dept Anim Sci, Urbana, IL 61801 USA. Yang, Xufei; Zhang, Yuanhui; Wang, Xinlei, Univ Illinois, Dept Agr \& Biol Engn, Urbana, IL 61801 USA. Mackie, Roderick I., Univ Illinois, Inst Genom Biol, Urbana, IL 61801 USA.","Hong, Pei-Ying and Li, Xiangzhen and Yang, Xufei and Shinkai, Takumi and Zhang, Yuanhui and Wang, Xinlei and Mackie, Roderick I.",10.1111/j.1462-2920.2012.02726.x,1462-2912,ENVIRONMENTAL MICROBIOLOGY,NA,English,1420-1431,wos,Monitoring airborne biotic contaminants in the indoor environment of pig and poultry confinement buildings,14,2012,399,3,YES,N,N,N,N,Y,NO,YES,NO,NO,gene,none,,,,
pig,819,Rosen_2018_FRINMI,"Livestock-associated methicillin-resistant Staphylococcus aureus (LA-MRSA) was first found in 2005 and is up to date widespread in animal husbandry reservoir - focusing on pig farming. The regular detectability of MRSA in the air of pigsties as well as in exhaust air of pig farms (mean count: 10(2) cfu/m(3)) poses the question whether an airborne spread and, therefore, a MRSA colonization of animals via the airborne route exists. To answer this question, we exposed three groups of nine MRSA-negative tested piglets each to a defined airborne MRSA concentration (10(2), 10(4), and 10(6) cfu/m(3)) in our aerosol chamber for 24 h. In the following observation period of 21 days, the MRSA status of the piglets was monitored by taking different swab samples (nasal, pharyngeal, skin, conjunctival, and rectal swab). At the end of the experiment, we euthanized the piglets and investigated different tissues and organs for the spread of MRSA. The data of our study imply the presence of an airborne MRSA colonization route: the animals exposed to 10(6) cfu/m(3) MRSA in the air were persistent colonized. The piglets exposed to an airborne MRSA concentration of 10(4) cfu/m(3) were transient, and the piglets exposed to an airborne MRSA concentration of 10(2) cfu/m(3) were not colonized. Consequently, a colonization via the airborne route was proven.","Rosen, K (Reprint Author), Free Univ Berlin, Inst Anim Hyg \& Environm Hlth, Berlin, Germany. Rosen, Kerstin; Roesler, Uwe; Friese, Anika, Free Univ Berlin, Inst Anim Hyg \& Environm Hlth, Berlin, Germany. Merle, Roswitha, Free Univ Berlin, Inst Vet Epidemiol \& Biostat, Berlin, Germany.","Rosen, Kerstin and Roesler, Uwe and Merle, Roswitha and Friese, Anika",10.3389/fmicb.2018.01542,1664-302X,FRONTIERS IN MICROBIOLOGY,livestock; ST398; pig; aerosol chamber; swine; antibiotic resistance,English,NA,wos,Persistent and Transient Airborne MRSA Colonization of Piglets in a Newly Established Animal Model,9,2018,819,2,YES,Y,N,N,N,N,NO,NO,NO,NO,NA,none,,,,
pig,153,Chapin_2005_ENVIHEALPERS,"The use of nontherapeutic levels of antibiotics in swine production can select for antibiotic resistance in commensal and pathogenic bacteria in swine. As a result, retail pork products, as well as surface and groundwaters contaminated with swine waste, have been shown to be sources of human exposure to antibiotic-resistant bacteria. However, it is unclear whether the air within swine operations also serves as a source of exposure to antibiotic-resistant bacterial pathogens. To investigate this issue, we sampled the air within a concentrated swine feeding operation with an all-glass impinger. Samples were analyzed using a method for the isolation of Enterococcus. A total of 137 presumptive Enterococcus isolates were identified to species level using standard biochemical tests and analyzed for resistance to erythromycin, clindamycin, virginiamycin, tetracycline, and vancomycin using the agar dilution method. Thirty-four percent of the isolates were confirmed as Enterococcus, 32\% were identified as coagulase-negative staphylococci, and 33\% were identified as viridans group streptococci. Regardless of bacterial species, 98\% of the isolates expressed high-level resistance to at least two antibiotics commonly used in swine production. None of the isolates were resistant to vancomycin, an antibiotic that has never been approved for use in livestock in the United States. In conclusion, high-level multidrug-resistant Enterococcus, coagulase-negative staphylococci, and viridans group streptococci were detected in the air of a concentrated swine feeding operation. These findings suggest that the inhalation of air from these facilities may serve as an exposure pathway for the transfer of multidrug-resistant bacterial pathogens from swine to humans.","Schwab, K (Reprint Author), Johns Hopkins Bloomberg Sch Publ Hlth, Dept Environm Hlth Sci, 615 N Wolfe St,Room E6620, Baltimore, MD 21205 USA. Johns Hopkins Bloomberg Sch Publ Hlth, Dept Environm Hlth Sci, Baltimore, MD 21205 USA.","Chapin, A and Rule, A and Gibson, K and Buckley, T and Schwab, K",10.1289/ehp.7473,0091-6765,ENVIRONMENTAL HEALTH PERSPECTIVES,air sampling; airborne bacteria; antibiotic resistance; CAFO; concentrated swine feeding operation; multidrug-resistant bacteria.,English,137-142,wos,Airborne multidrug-resistant bacteria isolated from a concentrated swine feeding operation,113,2005,153,3,YES,N,Y,N,N,N,YES,NO,NO,NO,YES,none,,,,
pig,861,Schmithausen_2015_PLOONE,"Livestock-associated bacteria with resistance to two or more antibiotic drug classes have heightened our awareness for the consequences of antibiotic consumption and spread of resistant bacterial strains in the veterinary field. In this study we assessed the prevalence of concomitant colonization with livestock-associated methicillin-resistant Staphylococcus aureus (LA-MRSA) and enterobacteriaceae expressing extended-spectrum betalactamases (ESBL-E) in farms at the German-Dutch border region. Nasal colonization of pigs with MRSA (113/547 (20.7\%)) was less frequent than rectal colonization with ESBL-E (163/540 (30.2\%)). On the individual farm level MRSA correlated with ESBL-E recovery. The data further provide information on prevalence at different stages of pig production, including abattoirs, as well as in air samples and humans living and working on the farms. Notably, MRSA was detected in stable air samples of 34 out of 35 pig farms, highlighting air as an important MRSA transmission reservoir. The majority of MRSA isolates, including those from humans, displayed tetracycline resistance and spa types t011 and t034 characteristic for LA-MRSA, demonstrating transmission from pigs to humans. ESBL-E positive air samples were detected on 6 out of 35 farms but no pig-to-human transmission was found. Detection of ESBL-E, e.g. mostly Escherichia coli with CTX-M-type ESBL, was limited to these six farms. Molecular typing revealed transmission of ESBL-E within the pig compartments; however, related strains were also found on unrelated farms. Although our data suggest that acquisition of MRSA and ESBL-E might occur among pigs in the abattoirs, MRSA and ESBL-E were not detected on the carcasses. Altogether, our data define stable air (MRSA), pig compartments (ESBL-E) and abattoir waiting areas (MRSA and ESBL-E) as major hot spots for transmission of MRSA and/or ESBL-E along the pig production chain.","Bekeredjian-Ding, I (Reprint Author), Univ Hosp Bonn, Inst Med Microbiol Immunol \& Parasitol, Bonn, Germany. Schmithausen, Ricarda Maria; El-Jade, Mohamed; Reif, Marion; Meilaender, Alina; Montabauer, Gabriele; Parcina, Marijo; Hoerauf, Achim; Bierbaum, Gabriele, Univ Hosp Bonn, Inst Med Microbiol Immunol \& Parasitol, Bonn, Germany. Schmithausen, Ricarda Maria; Schulze-Geisthoevel, Sophia Vernika; Stemmer, Franziska; Petersen, Brigitte, Univ Bonn, Prevent Hlth Management Grp, Inst Anim Sci, Bonn, Germany. Fimmers, Rolf, Univ Hosp Bonn, Inst Med Biometry Epidemiol \& Comp Sci, Bonn, Germany. Hack, Sylvia; Exner, Martin, Univ Hosp Bonn, Inst Hyg \& Publ Hlth, Bonn, Germany. Bekeredjian-Ding, Isabelle, Paul Ehrlich Inst, Div EU Cooperat Microbiol, Langen, Germany.","Schmithausen, Ricarda Maria and Schulze-Geisthoevel, Sophia Vernika and Stemmer, Franziska and El-Jade, Mohamed and Reif, Marion and Hack, Sylvia and Meilaender, Alina and Montabauer, Gabriele and Fimmers, Rolf and Parcina, Marijo and Hoerauf, Achim and Exner, Martin and Petersen, Brigitte and Bierbaum, Gabriele and Bekeredjian-Ding, Isabelle",10.1371/journal.pone.0138173,1932-6203,PLOS ONE,NA,English,NA,wos,Analysis of Transmission of MRSA and ESBL-E among Pigs and Farm Personnel,10,2015,861,2,YES,Y,Y,N,N,N,NO,NO,NO,NO,NA,none,,,,
pig,429,Ivbule_2014,"Antibiotic resistance of Staphylococcus is increasing worldwide. New antibiotics are used in big amounts in the meat production more and more. As a zoonosis, Staphylococcus aureus (S. aureus) is found in various species of animals and people, especially in those, who are working on commercial swine farms and slaughterhouses. The aim of the study was to find out the occurrence of S. aureus in different age groups of pigs on commercial swine farms in Latvia. Microbiological samples (n=702) including nasal, rectal, milk and air samples were collected during October 2013 from three closed farms of different sizes and several age groups of pigs and investigated with microbiological standard methods. S. aureus was found in all swine farms. The occurrence of S. aureus in Latvian pig farms was 41\% and the highest occurrence of S. aureus was among 3-3.5 month old piglets. S. aureus was 1.8 times more frequently found in nasal than in rectal samples, and only in 28.38\% of pigs S. aureus was in both - nasal and rectal samples. Si aureus was found also in sow milk in 13\% of samples and in 3 samples of air (n=23).","Ivbule, M (Reprint Author), Latvia Univ Agr, Jelgava, Latvia. Ivbule, Meldra; Valdovska, Anda, Latvia Univ Agr, Jelgava, Latvia.","Ivbule, Meldra and Valdovska, Anda",NA,1691-4031,NA,staphylococcus; S. aureus; pig farms,English,176-181,wos,STAPHYLOCOCCUS SPECIES IN DIFFERENT AGE GROUPS OF PIGS IN LATVIA,NA,2014,429,2,YES,Y,N,N,N,N,NO,NO,NO,NO,NA,none,,,,
pig,1231,X25465658,"The presence of ESBL/AmpC-producing Escherichia coli in livestock such as pigs has been known for some time. However, to date there is little information about the transmission of these resistant bacteria between pig farms and their surroundings. Thus, the aim of this study was to explore this topic by investigating seven German pig fattening farms. Samples from outside (including ground surfaces, ambient air, slurry and digestate from biogas plants) and, in parallel, from inside the pig barns (including pig feces, dust, barn air, flies and mice feces) were examined for ESBL/AmpC-producing E. coli and selected isolates were compared by pulsed-field gel electrophoresis (PFGE) analysis. 14/17 (82.4%) slurry samples and three of four samples of digestate from biogas plants tested positive for ESBL/AmpC-producing E. coli. In the vicinity of the pig barns these resistant bacteria were detected in 14/87 (16.1%) boot swabs taken from various ground surfaces and in 2/36 (6%) ambient air samples. Inside the pig barns, 6/63 (9.5%) barn air samples and a small proportion of flies and mice feces samples were ESBL/AmpC-positive. PFGE analysis proved fecal emission as well as a possible spread via flies, as identical ESBL-E. coli isolates were detected in slurry and on fertilized fields, as well as in flies and pooled feces from inside the barn and slurry. Contaminated slurry presented the major emission source for ESBL/AmpC-producing E. coli in the pig fattening farms, but a spread via the airborne route or via different vectors also seems possible.","Institute for Animal Hygiene and Environmental Health, Free University Berlin, and Robert-von-Ostertag-Strasse 7-13, 14163 Berlin, Germany. Electronic address: and Christinavon.Salviati@fu-berlin.de. and Institute for Animal Hygiene and Environmental Health, Free University Berlin, and Robert-von-Ostertag-Strasse 7-13, 14163 Berlin, Germany. and Federal Institute for Risk Assessment, Department Biological Safety, and Max-Dohrn-Strasse 8-10, 10589 Berlin, Germany. and Institute for Animal Hygiene and Environmental Health, Free University Berlin, and Robert-von-Ostertag-Strasse 7-13, 14163 Berlin, Germany. and Institute for Animal Hygiene and Environmental Health, Free University Berlin, and Robert-von-Ostertag-Strasse 7-13, 14163 Berlin, Germany.",von Salviati C and Laube H and Guerra B and Roesler U and Friese A,10.1016/j.vetmic.2014.10.010,1873-2542 (Electronic) and 0378-1135 (Linking),Veterinary microbiology,Antimicrobial resistance and ESBL and Emission and Environment and Pig husbandry and Slurry,eng,77-84,pubmed,Emission of ESBL/AmpC-producing Escherichia coli from pig fattening farms to surrounding areas.,175,2015,1231,2,YES,N,Y,N,N,N,NOT POSSIBLE,NO,NO,NO,YES,none,,,,
pig,558,Letourneau_2010_INJOOFHYANENHE,"Swine confinement buildings in eastern Canada are enclosed and equipped with modern production systems to manage waste. Bioaerosols of these swine confinement buildings could be contaminated by human pathogens and antimicrobial resistant bacteria which could colonize exposed workers. We therefore wanted to analyze bioaerosols of swine confinement buildings and nasal flora of Canadian hog producers to evaluate possible colonization with human pathogens and tetracycline-resistant bacteria. Culturable and non-culturable human pathogens and tet genes were investigated in the bioaerosols of 18 barns. The nasal passages of 35 hog producers were sampled and total DNA was extracted from the calcium-alginate swabs to detect, by PCR, Campylobacter, C. perfringens, Enterococcus, E. coli, Y. enterocolitica, tetA/tetC, tetG and ribosomal protection protein genes. Airborne culturable C. perfringens, Enterococcus, E. call, and Y. enterocolitica were present in the bioaerosols of 16, 17, 11 and 6 of the 18 facilities. Aerosolized total (culturable/non culturable) Campylobacter, C. perfringens, Enterococcus, E. coli and Y. enterocolitica were detected in 10, 6, 15, 18 and 2 barns, respectively. Tet genes were found in isolates of culturable human pathogens. TetA/tetC, tetG and ribosomal protection protein genes were detected in the bioaerosols of all 18 studied buildings. Campylobacter, C. perfringens, Enterococcus, E. coli, and Y. enterocolitica were found respectively in 4, 9, 17, 14 and one nasal flora of workers. One and 10 workers were positive for tetA/tetC and tetG genes, respectively. In swine confinement buildings, hog producers are exposed to aerosolized human pathogens and tetracycline-resistant bacteria that can contaminate the nasal flora. (C) 2010 Elsevier GmbH. All rights reserved.","Duchaine, C (Reprint Author), Hop Laval, Inst Univ Cardiol \& Pneumol Quebec, 2725 Chemin St Foy, Quebec City, PQ G1V 4G5, Canada. Letourneau, Valerie; Nehme, Benjamin; Meriaux, Anne; Cormier, Yvon; Duchaine, Caroline, Hop Laval, Inst Univ Cardiol \& Pneumol Quebec, Quebec City, PQ G1V 4G5, Canada. Masse, Daniel, Agr \& Agri Food Canada, Dairy \& Swine Res \& Dev Ctr, Lennoxville, PQ J1M 1Z3, Canada. Cormier, Yvon, Univ Laval, Fac Med, Dept Med, Quebec City, PQ G1V 0A6, Canada. Duchaine, Caroline, Univ Laval, Fac Sci \& Genie, Dept Biochim \& Microbiol, Quebec City, PQ G1V 0A6, Canada.","Letourneau, Valerie and Nehme, Benjamin and Meriaux, Anne and Masse, Daniel and Cormier, Yvon and Duchaine, Caroline",10.1016/j.ijheh.2010.09.008,1438-4639,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,Aerobiology; Air sampling; Nasal swab; Airborne pathogens; tet genes,English,444-449,wos,Human pathogens and tetracycline-resistant bacteria in bioaerosols of swine confinement buildings and in nasal flora of hog producers,213,2010,558,3,YES,N,Y,N,N,N,NOT POSSIBLE,NO,NO,NO,YES,none,,,,
pig,527,Kumari_2014_PLOONE,"Little is known about the seasonal dynamics of biotic contaminants in swine confinement buildings (SCBs). The biotic contaminants of seven SCBs were monitored during one visit in the winter and one during the summer. Paired-end Illumina sequencing of the 16S rRNA gene, V3 region, was used to examine seasonal shifts in bacterial community composition and diversity. The abundances of 16S rRNA genes and six tetracycline resistance genes (tetB, tetH, tetZ, tetO, tetQ, and tetW) were also quantified using real-time PCR. Bacterial abundances, community composition and diversity all showed strong seasonal patterns defined by winter peaks in abundance and diversity. Microclimatic variables of SCBs, particularly air speed, PM2.5 and total suspended particles (TSP) were found significantly correlated to abundances, community composition, and diversity of bacterial bioaerosols. Seasonal fluctuations were also observed for four tetracycline resistance genes, tetH, tetO, tetQ, and tetW. The frequency of occurrences of these resistance genes were significantly higher in samples collected during winter and was also significantly correlated with air speed, PM2.5 and TSP. Overall, our results indicate that biotic contaminants in SCBs exhibit seasonal trends, and these could be associated with the microclimatic variables of SCBs. The correlations established in the current study could be helpful in establishing better management strategies to minimize the potential health impacts on both livestock and humans working in this environment.","Choi, HL (Reprint Author), Seoul Natl Univ, Res Inst Agr \& Life Sci, Dept Agr Biotechnol, Seoul, South Korea. Kumari, Priyanka; Choi, Hong L., Seoul Natl Univ, Res Inst Agr \& Life Sci, Dept Agr Biotechnol, Seoul, South Korea.","Kumari, Priyanka and Choi, Hong L.",10.1371/journal.pone.0112897,1932-6203,PLOS ONE,NA,English,NA,wos,Seasonal Variability in Airborne Biotic Contaminants in Swine Confinement Buildings,9,2014,527,1,YES,N,N,N,N,Y,NO,YES,NO,NO,gene,none,,,,
